Mercedes-Benz ,G-Class ,III (W463) 2018 – now ,
Land Rover ,Range Rover ,III Restyling 2005 – 2009 ,
Kia ,Rio ,II Restyling 2009 – 2011 ,
Mercedes-Benz ,GLE ,I (W166) 2015 – 2018 ,
Honda ,Civic ,VIII 2005 – 2008 ,
Volkswagen ,Passat CC ,I 2008 – 2012 ,
Kia ,Sorento ,II 2009 – 2012 ,
Mercedes-Benz ,C-Class ,IV (W205) 2014 – 2018 ,
Honda ,CR-V ,V 2016 – now ,
Nissan ,X-Trail ,III 2013 – 2019 ,
Mitsubishi ,Pajero Sport ,I Restyling 2004 – 2008 ,
Nissan ,Patrol ,V (Y61) Restyling 2004 – now ,
Mercedes-Benz ,G-Class ,II (W463) 1990 – 2006 ,
Kia ,Carnival ,IV 2020 – now ,
Toyota ,RAV4 ,IV (CA40) Restyling 2015 – 2019 ,
Suzuki ,Vitara ,II 2014 – 2019 ,
Toyota ,Land Cruiser ,200 Series 2007 – 2012 ,
Mercedes-Benz ,M-Class ,II (W164) 2005 – 2008 ,
BMW ,X3 ,II (F25) Restyling 2014 – 2017 ,
Geely ,Coolray ,I 2020 – now ,
Peugeot ,308,II 2013 – 2017 ,
Lexus ,GX ,I 2002 – 2009 ,
BMW ,X5 ,II (E70) Restyling 2010 – 2013 ,
Haval ,H6 ,2014 – now ,
Mitsubishi ,Montero ,III 1999 – 2006 ,
Audi ,A7 ,I (4G) 2010 – 2014 ,
Mercedes-Benz ,C-Class AMG ,IV (W205) 2014 – 2018 ,
Volkswagen ,Amarok ,I 2010 – 2016 ,
Hyundai ,Grand Starex ,I Restyling 2 2017 – now ,
Mercedes-Benz ,GLA ,I (X156) 2013 – 2017 ,
LADA (VAZ) ,2121 (4x4) ,I Restyling 1993 – now ,
Infiniti ,QX80 ,I 2013 – 2014 ,
Mercedes-Benz ,GLK-Class ,I (X204) Restyling 2012 – 2015 ,
Volkswagen ,Touareg ,II Restyling 2014 – 2018 ,
Nissan ,Murano ,I (Z50) 2002 – 2008 ,
Jeep ,Grand Cherokee ,IV (WK2) 2010 – 2013 ,
Chevrolet ,Captiva ,I 2006 – 2011 ,
Land Rover ,Range Rover Sport ,I Restyling 2009 – 2013 ,
Hyundai ,Santa Fe ,II Restyling 2009 – 2012 ,
Honda ,CR-V ,IV 2012 – 2015 ,
Toyota ,Highlander ,II (U40) Restyling 2010 – 2013 ,
Citroen ,C4 Aircross ,2012 – 2017 ,
Nissan ,Qashqai ,II 2013 – 2019 ,
Nissan ,Qashqai ,I Restyling 2010 – 2013 ,
BMW ,X1 ,II (F48) 2015 – 2019 ,
Mercedes-Benz ,S-Class AMG ,"III (W222, C217) Restyling 2017 – now ",
Kia ,Optima ,IV Restyling 2018 – now ,
Volkswagen ,Touareg ,I Restyling 2006 – 2010 ,
Porsche ,Macan ,I 2014 – 2018 ,
Jeep ,Cherokee ,V (KL) 2013 – 2018 ,
Mercedes-Benz ,G-Class ,II (W463) Restyling 4 2015 – 2018 ,
Chevrolet ,Epica ,I Restyling 2009 – 2012 ,
Nissan ,Pathfinder ,III 2004 – 2010 ,
BMW ,X6 ,I (E71) Restyling 2012 – 2014 ,
Mercedes-Benz ,GLS ,I (X166) 2015 – 2019 ,
Volkswagen ,Caddy ,III Restyling 2010 – 2015 ,
BMW ,7 series ,V (F01/F02/F04) Restyling 2012 – 2015 ,
Ford ,Edge ,I Restyling 2010 – 2014 ,
Kia ,Carnival ,III 2014 – now ,
Mercedes-Benz ,S-Class ,V (W221) 2005 – 2009 ,
Audi ,A6 ,III (C6) 2004 – 2008 ,
Land Rover ,Range Rover ,III Restyling 2 2009 – 2012 ,
Volvo ,S60 ,I Restyling 2004 – 2009 ,
Kia ,Sorento ,IV 2020 – now ,
Honda ,Civic ,VIII Restyling 2008 – 2011 ,
Mercedes-Benz ,E-Class AMG ,V (W213) 2016 – now ,
Dodge ,Caliber ,I 2006 – 2009 ,
Volkswagen ,Passat ,B5 Restyling 2000 – 2005 ,
Porsche ,Cayenne ,II (958) 2010 – 2014 ,
Chevrolet ,Captiva ,I Restyling 2 2013 – 2016 ,
Mercedes-Benz ,S-Class AMG ,"III (W222, C217) 2013 – 2017 ",
Opel ,Corsa ,D 2006 – 2010 ,
Hyundai ,Santa Fe ,III Restyling 2015 – 2018 ,
Kia ,Sorento ,III Prime 2014 – 2017 ,
Geely ,Atlas ,I 2016 – now ,
Opel ,Astra ,H Restyling 2006 – 2014 ,
Audi ,A6 ,IV (C7) 2011 – 2014 ,
Jeep ,Compass ,I Restyling 2010 – 2013 ,
Smart ,Forfour ,II 2014 – now ,
Ford ,Kuga ,II 2012 – 2016 ,
Opel ,Zafira ,C 2011 – 2016 ,
LADA (VAZ) ,2111,1997 – 2009 ,
Mercedes-Benz ,S-Class ,IV (W220) Restyling 2002 – 2005 ,
Kia ,Cerato ,III Restyling (Classic) 2016 – now ,
BMW ,5 series ,V (E60/E61) 2002 – 2007 ,
Hyundai ,Elantra ,V (MD) Restyling 2013 – 2016 ,
Land Rover ,Freelander ,II Restyling 2010 – 2012 ,
Mitsubishi ,Outlander ,II Restyling 2009 – 2013 ,
Volkswagen ,Tiguan ,I 2007 – 2011 ,
BMW ,X5 M ,I (E70) 2009 – 2013 ,
Lexus ,RX ,III 2008 – 2012 ,
Changan ,CS35 ,2013 – now ,
Mitsubishi ,Lancer ,X 2007 – 2010 ,
Renault ,Fluence ,I 2009 – 2013 ,
Subaru ,Forester ,I Restyling 2000 – 2002 ,
Volkswagen ,Golf ,VII 2012 – 2017 ,
Geely ,Emgrand X7 ,I Restyling 2 2018 – now ,
Lexus ,IS ,II 2005 – 2008 ,
Ford ,Explorer ,V 2010 – 2015 ,
Volkswagen ,Touran ,II 2010 – 2015 ,
Chevrolet ,Cruze ,I 2009 – 2012 ,
Volkswagen ,Jetta ,VI 2010 – 2015 ,
Volkswagen ,Caravelle ,T5 2003 – 2009 ,
Land Rover ,Discovery Sport ,I 2014 – 2019 ,
Audi ,Q5 ,I (8R) 2008 – 2012 ,
AC ,Cobra ,Mk V 1999 – 2007 ,
Opel ,Insignia ,I 2008 – 2013 ,
Mercedes-Benz ,M-Class AMG ,II (W164) Restyling 2008 – 2011 ,
Land Rover ,Range Rover ,IV 2012 – 2017 ,
Renault ,Megane ,III Restyling 2012 – 2014 ,
Mercedes-Benz ,CLA ,"I (C117, X117) 2013 – 2016 ",
Nissan ,X-Trail ,II Restyling 2010 – 2015 ,
LADA (VAZ) ,2106,1976 – 2006 ,
Nissan ,Murano ,II (Z51) Restyling 2010 – 2012 ,
Infiniti ,EX ,I (J50) 2007 – 2013 ,
Toyota ,Land Cruiser ,200 Series Restyling 1 2012 – 2015 ,
Chery ,Tiggo (T11) ,I 2005 – 2013 ,
Audi ,A6 ,IV (C7) Restyling 2014 – 2018 ,
Kia ,Sorento ,I 2002 – 2006 ,
Mercedes-Benz ,C-Class ,III (W204) 2006 – 2011 ,
Jeep ,Grand Cherokee ,III (WK) 2004 – 2010 ,
Mercedes-Benz ,C-Class ,III (W204) Restyling 2011 – 2015 ,
Peugeot ,308,I Restyling 2011 – 2015 ,
Mazda ,CX-5 ,I Restyling 2015 – 2017 ,
Volvo ,S80 ,II Restyling 2009 – 2013 ,
BMW ,5 series ,VI (F10/F11/F07) 2009 – 2013 ,
Hyundai ,Tucson ,I 2004 – 2010 ,
Kia ,Cerato ,III 2013 – 2016 ,
Tesla ,Model S ,I Restyling 2016 – now ,
Skoda ,Superb ,III 2015 – 2019 ,
Mercedes-Benz ,CL-Class AMG ,II (C216) Restyling 2010 – 2014 ,
YAZ ,Patriot ,I Restyling 2 2014 – 2016 ,
Ford ,S-MAX ,I 2006 – 2010 ,
Toyota ,Camry ,VI (XV40) 2006 – 2009 ,
Nissan ,Juke ,I 2010 – 2014 ,
Toyota ,Verso ,I Restyling 2012 – 2018 ,
BMW ,X4 ,I (F26) 2014 – 2018 ,
LADA (VAZ) ,Largus ,I 2012 – now ,
Renault ,Megane ,II 2002 – 2006 ,
Mercedes-Benz ,E-Class ,"IV (W212, S212, C207) Restyling 2013 – 2016 ",
BMW ,3 series ,V (E90/E91/E92/E93) Restyling 2008 – 2013 ,
Hyundai ,ix35 ,I 2010 – 2013 ,
Volkswagen ,Touareg ,I 2002 – 2007 ,
Mercedes-Benz ,M-Class ,II (W164) Restyling 2008 – 2011 ,
Toyota ,Avensis ,II Restyling 2006 – 2009 ,
Mercedes-Benz ,CLS ,II (C218) Restyling 2014 – 2017 ,
Volkswagen ,Passat ,B7 2011 – 2015 ,
Lexus ,NX ,I Restyling 2017 – now ,
Mazda ,6,I (GG) 2002 – 2005 ,
Hyundai ,Solaris ,I Restyling 2014 – 2017 ,
MINI ,Countryman ,II 2016 – now ,
Honda ,Jazz ,I Restyling 2005 – 2008 ,
Hyundai ,i40 ,I 2011 – 2015 ,
Mitsubishi ,L200 ,IV 2006 – 2014 ,
Honda ,Accord ,VII Restyling 2005 – 2008 ,
Kia ,Rio ,IV Restyling 2020 – now ,
Mazda ,CX-9 ,I Restyling 2012 – 2016 ,
Mitsubishi ,Outlander ,III Restyling 2 2015 – 2018 ,
Audi ,Q3 ,I (8U) 2011 – 2014 ,
YAZ ,Patriot ,I Restyling 2012 – 2014 ,
Volkswagen ,Passat ,B6 2005 – 2010 ,
Audi ,A4 ,IV (B8) 2007 – 2011 ,
Mitsubishi ,Lancer ,X Restyling 2011 – 2015 ,
Skoda ,Fabia ,II 2007 – 2010 ,
Kia ,Cerato ,IV 2018 – now ,
Ford ,Mustang ,VI 2014 – 2017 ,
Citroen ,C3 Picasso ,I 2009 – 2012 ,
Kia ,Ceed ,I Restyling 2010 – 2012 ,
Mercedes-Benz ,Viano ,I (W639) Restyling 2010 – 2014 ,
Mercedes-Benz ,CL-Class ,III (C216) Restyling 2010 – 2014 ,
Ford ,Fiesta ,Mk6 2008 – 2013 ,
TagAZ ,Tager ,2008 – 2012 ,
Kia ,Mohave ,I 2008 – 2016 ,
BMW ,X6 ,I (E71) 2007 – 2012 ,
Infiniti ,M ,III Restyling 2008 – 2010 ,
LADA (VAZ) ,2104,1984 – 2012 ,
Hyundai ,Solaris ,II 2017 – now ,
Chevrolet ,Lacetti ,2004 – 2013 ,
Mercedes-Benz ,CL-Class AMG ,II (C216) 2006 – 2010 ,
Toyota ,Camry ,VII (XV50) Restyling 2014 – 2017 ,
Mitsubishi ,Pajero Sport ,II 2008 – 2013 ,
Lexus ,LS ,IV 2006 – 2009 ,
Audi ,Q7 ,I (4L) Restyling 2009 – 2015 ,
Mazda ,3,II (BL) Restyling 2011 – 2013 ,
Opel ,Zafira ,B Restyling 2008 – 2014 ,
Ford ,Mondeo ,IV Restyling 2010 – 2014 ,
Mazda ,6,III (GJ) 2012 – 2015 ,
Mercedes-Benz ,GLE Coupe AMG ,I (C292) 2015 – 2019 ,
Skoda ,Yeti ,I 2009 – 2014 ,
Peugeot ,406,I Restyling 1999 – 2005 ,
Kia ,Ceed ,III 2018 – now ,
Volkswagen ,Jetta ,V 2005 – 2011 ,
Citroen ,C4 Picasso ,I 2006 – 2013 ,
Subaru ,Legacy ,IV 2003 – 2006 ,
Suzuki ,SX4 ,I (Classic) 2006 – 2009 ,
Land Rover ,Range Rover Evoque ,I Restyling 2015 – 2018 ,
Honda ,Crosstour ,I 2009 – 2012 ,
Kia ,Sportage ,IV Restyling 2018 – now ,
Dodge ,Dart ,2012 – 2016 ,
Volkswagen ,Sharan ,I 1995 – 2000 ,
MINI ,Hatch ,II (R56) Restyling 2010 – 2013 ,
Mercedes-Benz ,S-Class ,V (W221) Restyling 2009 – 2013 ,
Ford ,Mustang ,V Restyling 2009 – 2014 ,
Bentley ,Continental Flying Spur ,2005 – 2012 ,
Ford ,Fiesta ,Mk5 2002 – 2008 ,
Land Rover ,Freelander ,II 2006 – 2010 ,
Mitsubishi ,Lancer ,IX Restyling 2005 – 2010 ,
Skoda ,Octavia RS ,III 2013 – 2017 ,
Toyota ,Corolla ,"X (E140, E150) 2006 – 2012 ",
Volkswagen ,Golf ,VI 2008 – 2012 ,
Mercedes-Benz ,C-Class ,II (W203) 2000 – 2004 ,
Skoda ,Octavia RS ,II Restyling 2008 – 2013 ,
Audi ,S8 ,III (D4) Restyling 2013 – 2017 ,
Mazda ,3,II (BL) 2008 – 2011 ,
Toyota ,RAV4 ,III (XA30) 2005 – 2010 ,
TagAZ ,Road Partner ,2008 – 2011 ,
Ford ,Fiesta ,Mk6 Restyling 2012 – 2019 ,
Skoda ,Octavia ,II (A5) Restyling 2008 – 2013 ,
Kia ,Ceed ,II 2012 – 2015 ,
Lexus ,NX ,I 2014 – 2017 ,
Chevrolet ,Cruze ,I Restyling 2012 – 2015 ,
Dodge ,Avenger ,II 2007 – 2010 ,
Kia ,Sorento ,II Restyling 2012 – now ,
Toyota ,RAV4 ,III (XA30) Restyling 2010 – 2014 ,
Toyota ,Highlander ,III (U50) Restyling 2016 – 2019 ,
Subaru ,Outback ,III 2003 – 2006 ,
Opel ,Vectra ,C Restyling 2005 – 2008 ,
Mercedes-Benz ,Maybach S-Class ,I (X222) 2014 – 2017 ,
Cadillac ,SRX ,II 2009 – 2012 ,
Citroen ,C4 ,II 2010 – 2016 ,
Mazda ,6,II (GH) 2007 – 2009 ,
Land Rover ,Range Rover Sport ,I 2005 – 2009 ,
Citroen ,DS4 ,2011 – 2015 ,
Hyundai ,Accent ,II 1999 – 2012 ,
Great Wall ,Hover H5 ,2010 – 2017 ,
BMW ,3 series ,VI (F3x) Restyling 2015 – now ,
Honda ,Accord ,X 2017 – now ,
Kia ,Optima ,III Restyling 2013 – 2015 ,
LADA (VAZ) ,Kalina ,I 2004 – 2013 ,
Porsche ,Cayenne ,III 2017 – now ,
Mercedes-Benz ,E-Class ,"IV (W212, S212, C207) 2009 – 2013 ",
Renault ,Megane ,II Restyling 2006 – 2009 ,
Lexus ,RX ,III Restyling 2012 – 2015 ,
Hyundai ,H-1 ,II 2007 – 2015 ,
Opel ,Antara ,I Restyling 2010 – 2017 ,
Chevrolet ,Lanos ,I 2002 – 2009 ,
Kia ,Rio ,III 2011 – 2015 ,
Honda ,CR-V ,III 2006 – 2009 ,
Opel ,Meriva ,B Restyling 2014 – 2018 ,
Volvo ,XC70 ,II 2007 – 2013 ,
Ford ,Galaxy ,II Restyling 2010 – 2015 ,
Lexus ,IS ,II Restyling 2008 – 2010 ,
LADA (VAZ) ,Granta ,I 2011 – 2018 ,
Ford ,Maverick ,II 2000 – 2007 ,
Nissan ,Teana ,II Restyling 2011 – 2014 ,
Opel ,Mokka ,I 2012 – 2016 ,
Toyota ,Fortuner ,II 2015 – now ,
Renault ,Koleos ,I Restyling 2011 – 2013 ,
Renault ,Megane ,IV 2016 – now ,
Mitsubishi ,Galant ,IX Restyling 2006 – 2008 ,
Land Rover ,Range Rover Evoque ,I 2011 – 2015 ,
Cadillac ,BLS ,2006 – 2009 ,
Ford ,Focus ,III 2011 – 2015 ,
Honda ,HR-V ,I Restyling 2001 – 2006 ,
BMW ,X3 ,II (F25) 2010 – 2014 ,
Honda ,Civic ,IX 2011 – 2015 ,
Volvo ,V40 Cross Country ,I 2012 – 2016 ,
Audi ,A8 ,III (D4) 2009 – 2014 ,
Kia ,Picanto ,III 2017 – now ,
Audi ,A6 ,III (C6) Restyling 2008 – 2011 ,
SsangYong ,Kyron ,I Restyling 2007 – 2015 ,
Nissan ,Almera ,III (G15) 2012 – 2018 ,
Ford ,Focus ,III Restyling 2014 – 2019 ,
Mazda ,3,I (BK) Restyling 2006 – 2009 ,
Toyota ,Verso ,I 2009 – 2012 ,
Suzuki ,Grand Vitara ,III 2005 – 2008 ,
Ford ,Focus ,II 2005 – 2008 ,
Kia ,Cerato ,II 2008 – 2013 ,
Mercedes-Benz ,G-Class ,II (W463) Restyling 2 2008 – 2012 ,
Hyundai ,Santa Fe ,IV 2018 – now ,
Kia ,Venga ,I 2009 – 2014 ,
Renault ,Sandero ,I 2009 – 2014 ,
MINI ,Countryman ,I 2010 – 2016 ,
Renault ,Scenic ,II Restyling 2006 – 2009 ,
Mitsubishi ,Lancer Evolution ,X 2007 – 2016 ,
BMW ,X3 ,I (E83) Restyling 2006 – 2010 ,
Nissan ,Pathfinder ,III Restyling 2010 – 2014 ,
Opel ,Astra ,J 2009 – 2012 ,
Great Wall ,Hover H3 ,I 2010 – 2015 ,
BMW ,3 series ,VI (F3x) 2011 – 2016 ,
Peugeot ,407,2004 – 2011 ,
Kia ,Sorento ,III Prime Restyling 2017 – now ,
Skoda ,Fabia ,I Restyling 2004 – 2007 ,
Citroen ,C3 ,I 2002 – 2006 ,
SsangYong ,Actyon Sports ,I 2006 – 2012 ,
Peugeot ,107,I Restyling 2009 – 2012 ,
LADA (VAZ) ,2115,1997 – 2012 ,
Volvo ,S60 ,II 2010 – 2013 ,
GAZ ,GAZ 67 ,1943 – 1953 ,
Volvo ,S80 ,I Restyling 2003 – 2006 ,
Volkswagen ,Pointer ,2003 – 2006 ,
Nissan ,Almera ,II (N16) Restyling 2002 – 2006 ,
Citroen ,Xsara Picasso ,1999 – 2012 ,
Mercedes-Benz ,S-Class ,IV (W220) 1998 – 2005 ,
Mazda ,6,I (GG) Restyling 2005 – 2008 ,
Volvo ,V40 ,II 2012 – 2016 ,
Nissan ,Almera Classic ,I 2006 – 2013 ,
Skoda ,Roomster ,I Restyling 2010 – 2015 ,
Kia ,Rio ,IV 2017 – now ,
Opel ,Astra ,J Restyling 2012 – 2017 ,
Honda ,CR-V ,II 2001 – 2004 ,
Volvo ,V40 Cross Country ,I Restyling 2016 – 2019 ,
